sentence	lable
ower dei Küenigin bat hei , ouk Schauh ' iahm te schaffen , un sagte : ik erken n't miék , gnädige Frau ' , nu éinmol fiar Auén Pilger : helpet mi nu , dat iék dei Reise vollbränge .	0
biu sühr ’ t iut imme Surlande ? “ Frogen un Beschäid drop hin un hiär ; dät klank foot sau häimesk un sank mey sau nette in de Ohren , ase wann hey de Köster Sostag owend d ’ n Sunndag inlütt .	0
diése Geschichte soh me erhawen im middelsten Felle .	0
so üm Kaffeetied keem en Boot de Alster rup .	1
at hei kam , foll hei vüör Salomo terdial .	0
David owwer freiğ : » Wat woss du van mî ? « Batseba sağğe : » Min Häär un Küönig , du hiäs mî dat duoch 'eschwuorn , dat min Suohn Salomo un nümmes süss nao dî op diäm Küönigsthroune sitten sall .	0
O , härr ' iék blous wiér Mine Behusunge erréik't !	0
de seggt em so un so .	1
dat weer egentlich dat föfde Element , sä he , dat Lebens-Element , de in all de annern introck , un wa't fehl weer de Dod .	1
de Hiemel könn nit blöher seyn .	0
reek mal dat verlaren Kaptaal von de hogen Zinsen af , Du schallst Di verferen !	1
un hei brachte dat Stück ' : dat Krummholt was et , dei Schlächter Harre do ân dat Schwien hangen ; dei köstliéke Broén Was vam gierigen Wull'we , diam unehrliéken , verschluaken .	0
awer de Paster weer nich bang ' , fohrt in de Rocktasch un höllt den Grafen de Pistol up de Bost : » Kennst du denn ok Aron sin Füerfatt ? «	1
ja , seggt he , dat lat uns mal dohn ; denn kriegt wi ja ok to sehn , wie wiet min Knecht mit dat Plögen to de Hawersaat is ; dat ward ok bald Tied ; Hawern to seien .	1
2 , 5 - 25 Sou was dat tau'egaohn , as Guott diän Menschen 'emaket harre : an diäm Daġġ , at Guott Hiëmmel un Äärde 'maket harre , dao gaffe't nuoch keinen Boum un keinen Strûk op de Äärde , un Grass un Krut wäären op diäm Felle ouk nuoch nit op'egaohn , denn Guott harre dat nuoch nit riänen laoten op diär Äärde , un dao was nuoch kein Mensch , de dat Land terächte maken konn , un Niëwwel stäiġ op van de Äärde un laġġte fuchte üöwwer diäm Grunne .	0
de Decke un de Wänne wuren oas ganz witt estricken .	0
Hiärmen saggte dann vaken : „ Suih , de Magister hiät sick wyier nit kaimet. “ Alsäu , de Magister dellte de Blagen in tweu Klassen .	0
Josua 6 , 22- 25	0
sou hält hei dann widder Fiar dei beste Wiese te liawen : siék köstliék te kléien , Lecker te iaten .	0
vun dit Geschäft wuß Anna nu ok un Ol Wida ebenfalls , as ick hör ; Klas Fot much em dat in betere Tieden , as se sick noch verdrogen , anvertru't hebb ' n , um sick Anna ehr wegen bi den Oln in Ansehn to bringen .	1
dat wouë füör de Ägypters grüggelig .	0
wi kriegt nu ok en Dochter ! «	1
» Nee , weeßt du dat denn , Maleen ? «	1
aver Fru Bollhardt harr sik nich ümsünst neffen Klaas op ' n Stool sett , op so ' n langwilige Faarten höör se geern wat Nies .	1
Blick IN MEYN LIÄWEN	0
– Wo owwer giät et Eenen enzigen Menschen , op diän me siäk so verloaten kann ?	0
– Om Keärkhuawe , laiwe Leiseken , om Keärkhuawe , Kuckelkuiseken ; kuem , slop deu bi mei !	0
sou vergongk dei Tîd ; äänewann dao harre diän bei'en et naches 'edröümet , un dat dücht 'ne wane belangkrîk .	0
dann liep et fix tu ehrem Spiejel und frote dänn üm Rot .	0
awwer wann iek mol Suarge hewwe un Naut un mey mol sinken well de Maut , dann saih iek doch met kindlechem Hiätten no uawen , sai weet miek nit vergiätten un iähre Hänne iut Hiemelshallen nau siänend un helpend üewer miek hallen .	0
» Dat weer wat ! « reep Kassen Mollt .	1
kuorte Tîd dropp was Bilha wîer am Ânmaken un kräiġ nuoch en Suohn .	0
» Saul küömmet mi op de Schliëcke un dann wätt hei miëck ümbrängen ! « De Häär antwuorrere : » Niähm en Kälfken met un segge : iëck kuomme , üm en Opfer te brängen .	0
as sik de Sellschop en beten verpeddt harr , güng ' de grote Abendmahltied an .	1
nu müß de Prester kamen un sien Ręd vœr de Dœr holen .	1
dat Hambörger Licht weer em in de Seel wossen .	1
ji kaamt doch all wedder – ja ?	1
» Sünd wi noch ni bald dar , Klaas ? « froog Maren un rück mal ungedüllig op ' n Stool .	1
en lange , lange Tiet weer 't all verkeert , wat ik dee ! « snucker se , » de Saak mit Maria un Paul un Sterlau – allens ! «	1
hei is grimmig un stark , dat iék ümm ' viéles nit härre Iahm taur Siete dei Reise woget .	0
dat weer op ' n Namiddag , as Maren röver gaan wull na Doortjn .	1
de arm Tiern !	1
Madam « , reep he » ik mutt noch mal mit Eer anstöten !	1
versatte Reineke .	0
» Nu warr't je woll rieten , « seggt de Dokter , » wo kamt denn all de Dal un Barg her ? «	1
vi mochen se bis an de Stâdtpaorte returdriwen .	0
de weeke Snee fangt dat all ' up .	1
uns ' Schohster sliekert sik mit Lesen , Schrieben un Reken so eben dör , wenn de Probst ok mennigmas smunzelt .	1
darbi leep em noch dat Water ut de Ogen von den Rook un Qualm .	1
de Brauer vam Plenzer was in Schmallmereg Pastauer .	0
das Trottoire .	0
de Jaren , de vör uns liggt , seet düster ut ! « – » All dat Goot un Bloot ümsünst ! « stöön Detelt .	1
doch möchten Ih künftig Klaiker handeln un trü un gewärtig diam Küenig bliewen .	0
owwer sinen Öllern vertallte hei nicks daovan , wat hei 'edaon harre .	0
in diar Ecke fungen sei iahn un schlaugen un giarwern Iahm gewaltig dat Fell ; miék wundert , wu hei entkommen .	0
da frög de Jud em : » Je , nu sag mer blos , wo bist du denn gewesen mit de Uhr ? «	1
nicks as deepen Affgrund .	1
hei holl et as sin äigen Kind .	0
wussen se ok wat ?	1
„ Jau Lena , sai könn ve't maken .	0
allen wéis hei siék dankbar , dei siék iahm günstig erwiésen , Dei in bedenkliéker Tiet an siner Siete harr ' n stoén .	0
he schull doch bedenken , dat ik damals mit sin Vader ok Erbarmen hatt harr .	1
to Noorn hett he fürige Stralen ropspringen seen hooch an ' n Heben , seggt he , root as Bloot un as glönig Isen .	1
Schmitten Florenz .	0
iëck freig se , of dä Küëningk in ' e Stuowe wäör .	0
denn böög de Dokter üm de Schüüneck un gung mit en möden Schritt op em to .	1
hî , wo iëck sî gebuarn .	0
blot een nich , de dar in de Eck von de Veranda , mit sien deftigen krummen Arms un de blöömten Rüch- un Sittpulster .	1
» Ob woll en Schanz so gresig atsüüt na so ' n Slacht ? «	1
du kanns diëck bî dinem Vâer David bedanken , dat iëck dat nit daue , soulange du am Liäwen büs .	0
Christiane im Rîgengraff .	0
dai Kraune is nau nette rund , sau leyk van allen Sieen , asse wann van Görnershand se fleyteg wör beschnieen .	0
so flog der Düwelskuckuk dör den Sloot .	0
dat harrn de Jagdpächters ehrn Mann , den Vörsteher Hans Maaß tom föftigsten Geburtsdag schenkt .	1
iëck hewwe ouk 'ehaort , bu iät nao Hülpe raupet tiëger sine Pilterers .	0
dao krîschere dat Volk nao Mose , dat hei 'ne hölpe .	0
» Je , « seggt de Buer un grient , » dar steiht ja öwerall i n't Ladenfinster anslagen , dat dat bi Dutzen billiger is. «	1
bekke diän doutschlött , diän well de Küönig rîke maken .	0
söll enner dacht hewwen , dät in diäm Läimen sau wat nettes siäten härre ?	0
he harr en goden Rüker hatt un wull sik nich argern .	1
un Guott sin Engel verschwundt vüör sinen Ougen .	0
„ Ok de Haasen sit kläuker gewoarden , as sei süs wären ; süs maketen sei noch woal Männeken , un leiten siäk scheiten ; owwer nu daut sei Eenem wat fleuten ! “ – So kürt viäle Jiägers in iährem Jiägerlatin ; owwer ok op guod Dütsch kamme woal siägen : dat in unserer Klaukheitstiet herümmeloppt viäle tweebeenige Haasen , dei üöwerall daut Männeken maken un grasen , un dei gliek , wann sei en Polzei-Jiäger well scheiten , hurtig flutscht foart , un daut iähm wat fleuten .	0
bo düse mit seynem Sünnenbekenntnisse ferreg wur un de Avselutiain kriegen harr , toh de Pastaier de Gardeyne an de Seyte un saggte : „ Sind Sie mit dem Auto hier , Herr Dohle ?	0
de baiden Broiers van Gehannes waren vüarlengest op Oawentür uutrocken , un et genk en Geröchte , dat se op me verwünskeden Sluate saeten .	0
Néi , miék härren gewiß ut miner Feste nit söllen Alle Schätze diar Welt hiehiar verleien : do was iék Frie op éigenem Grund un Boden .	0
- wann - en Unglücksfall kümmet allerwiägen mol viär - Her Guatt , verlot mieck nit !	0
de Ool drisel langsam den Barg op de anner Siet hindal , Spitz bell un danz vergnöögt vörop .	1
wat nu ?	0
de dänsche Footgarr hett eer mit ' n Kolben den Bregen inslaan – hurra , de dänsche Footgarr schall leben !	1
Tigges Fritz , Schopstalls Jupp , Sprängers Jupp stongen vär Schopstalls op de Stroote un harren siék viéll tau vertellen .	0
un et sagten dei Wärters dias Kreises : éin jéigliéker daue , Wat hei schüllig te daun is ; dat Recht werd ball ' siék ergiawen .	0
da güng en Gleem öwer sin ruffelig Gesicht ; awer de Sünnenschien weer man von korte Duer ; da törm ' sik de Gewitterwolken in grote Wellenlinen up sin Steern : » Denn is se nu je för ümmer verlarn ; de Boom is holl un boll bet up den Erdboden .	1
et was 1276 .	0
aver wenn Du em fangen deist , kööp ik Di em af – en Doppelschülling geev ik gliek. «	1
Luster , wat iëck di seggen well : iëck dau di dei Hüöhle füör ümmesüss un dat Feld daotau .	0
un waar eer dat glücken mit Paul Struck ?	1
in Gedanken Sind vi im Krieg , Un de Krieg es in uns , Alltids Bit dat vi in fuler Äärde sind .	0
de beiden Olen weren von Kindsbeen an befrünnt un harrn tosamen de Slacht bi Sehstedt mitmaakt .	1
et ha ' sick in Winnesile rümmküert , dat en Riesentropp van Kriegs- gefangene unnerwiägens wäör un dat düütsche Saldaoten se begledden .	0
sin egen Hülsen rögt he nich an , un sin egen Dann ' waßt ümmer lustig to , ahn en Telgen to missen .	1
owwer miëck selwer draffs du nit seihn , denn nümmes , dä miëck süht , blitt am Liäwen .	0
at Wulf inne Nacht moch hai Menschen un Vaih anfallen un dautbieten .	0
wot soll hai niu anners maken ärr ’ no der Mömme gohn .	0
ja , dar deen sik noch meer Dören apen un leten allerlei Gestalten ut , an de se lang ni dacht harr , un de sprungen un huschen nu üm eer rüm , as were n't Gespenster .	1
ower iék seihe alt , Laigen bedraw et un üewer dei Môten .	0
daofüör däut hei diëck vandage in mine Gewaolt .	0
ick seeg bet dahin Hansohm veel herumwannern un oft ut't Eckfinster kieken , wo en lütt Gardin vörhung , de he torüch trock .	1
alle Fische wett stiärwen un de Stroum wätt sou grüggelig stinken , dat kein Ägypter drut drinken kann .	0
un sai manch verloren Schöpken fung en Weäg wier in de Keärke .	0
de Egendömers staht öwernächtigt ümher .	1
» Wann du mi dat alles nit naohölls , maus du min Geschenk ânniähmen .	0
de Ding ' n keem mi weder so trurig noch so gefährlich vör , as Anna se nehm .	1
dao gengk et iähm as Naobers Leggehenne .	0
Diäshalf fut met d ’ r Uaterey ; Dai Göplerey is hey verbey .	0
doch yek segge dey : kumm mey nit ginternoh un greyne ! “ DE WEYWERFIGGEND	0
giëtt't dao kein Miäken unger diän Döchtern van dinen Bröüern un in dinem ganzen Volke ? « Simson sağğe tiëger sinen Vâer : » Dei geföllt mi nu maol !	0
so weer se üm Maria un Tyge in grote Sorgen .	1
Yut d ’ m Biärge , ne Jägger , dai Dicke , D ’ n Haut in d ’ r Hand un ne Ruien am Stricke , Hai piustet un wisket d ’ n Swäit van d ’ r Stehrn Un hächet un roipet d ’ m Knecht van fehrn : > Sie Mann da !	0
sei binget all dei Kränse .	0
bao sind se bliëwen ?	0
do is dät äine un dät andere .	0
ol Thed Feil wull en Landmeter ut em maken ; weer nix vör em , harr he seggt .	1
hest dat Geld denn noch ? «	1
so dreep Klaas Lamack sien Madam alleen in de Stuuv , as he eer en Breef geben dee , den he ut Kellnhusen mitbröcht harr .	1
» Drümm hiät hei di nicks 'esağğt .	0
nuoch nüü vüörhiär un ouk later ächternao nit harre de Häär sou op dat Gebiät van 'nem Menschen 'ehaord un sou wat 'edaon .	0
» Verdammten Bengel « , snack Pött , as bi sik sülbn , » un keem nich ehr wedder , as bet he dat Gold ni dregen kunn , wat he mitbroch .	1
gar nu de Stimm !	1
op en kuort quam iäm ́n Hase entiëgen un fraogede : „ Pannkäuksken , bao woste hen ? “ Dao sach de Pannekauken : „ Ik sin twäi Däirnkes afläopen un dem Männken Grëisebaort ; dëi , Hase Wittkopp , sack äok wuol waren “ , un daomet laip hä widder .	0
ik heff hier welk von Perlmutter , wat seggst darto ? «	1
siég mi , wat dréiw diék dôtau , dat du mi Lampen , dian trüen , Dei mi dei Breiwe te drian fleg 're , sou schmähliék awmurkset ?	0
Großkens jo ?	0
dat wäör dat Täiken , dat Weltenne es naoh , dei > Endzeit < wäör nu ân'ebruocken .	0
Tiënnte Plaoge : dei öllsten Kinner stiärwet	0
denn geev mi uns ' Herrgott noch en Tiet to ' n Besinnen , lange , lange Jaren , ik waar daröver oolt un koolt .	1
Paul seeg Lena meer as fröer op de Fingern , kunn aver partu nix an ' n Dag bringen .	1
dann schlauġ Esau vüör , dat me widdertrecken möche .	0
Maren dröömt , se is in Steenholt un steit in den groten Saal , de achter to Süden in Huus liggen deit .	1
ja , so weer't .	1
goht men frie blous dorin !	0
met solken Gebiarren Schwomm hei widder , et dréiw iahn dei Strom , dei rietend un grout was , In ganz wiéniger Tiet sehrno 'ne Meile widder raff ; Un do kroup hei ant Land am selwigen Auwer un pust 're .	0
doch matt mi luter am méisten Miner Sake Gerechtigkeit hell'pen un mine Gewandtheit .	0
süss küömmt hei unverhuowens in diän Riän ! « Dao kam ouk all en Stuorm op , de Hiäwen üöwwertrock siëck met schwatten Wolken un ne groute Waterflaut gongk dial , in diär Tîd as Ahab nao Jesreël fouher .	0
owwer sine Mouder dräif se ut em Berre , un sei wollen siëck gerade antrecken , dao föllen dei äiërsten Sprengkbomben .	0
„ Wat nit ut dem Hiärten küömmt , dat geht ok Niärgens ( Niärne ) taum Hiärten. “ – Dat nu alle Woarde un alles Spriäcken , wat ut dem Grunde des Hiärtens stammt , nit blos bie jedem Eenzelen , diäm et taum Troste odder taur Ermahnung deinen sall , sundern ok , wo et an viäle Andere taur Belehrung gerichtet ies , meest in jedes Hiärte deipe indringet , ies ’ ne allbekannte Erfahrung .	0
ik kann den Nam nich beholen , lat den Kerl Pohlmann un den annern Kuhlmann heeten .	1
en Engel friet man nich , den beedt man an !	1
Häimet es : wann de en Studäiërten büs un nümmes siëtt Professer tiägen di .	0
op de Deel , oha !	1
Sü mal , lütt Paul , Kaspel Kellnhusen is ni de Welt ; wat hier ni gellt , is annerwärts eerste Mood ; un fangt wi darmit an , uns in Huus tosamen geben to laten , so kaamt anner Lüüd na .	1
du kanns in diär Provinz Gosen Wuohnunge niähmen , ganz duorne bi mi .	0
» Nu warr ik klook ! « reep Maren .	1
aver rutlockt harr ehr dat Schelln vun de Ol , dat mark ick , se trock mi mit , as se mi fründlich begröt , dat se den Kopp ut de Dör steken un den Oln achterna sehn kunn , de all achter dat Schoolhus gegenöver mank de Knicken verswunn .	1
hei buggere ne groute Halle .	0
ower hei mein 're dei Hauhner , wu sei do Buten spazäirden .	0
dat weern Forms to ' n Tinnguß .	1
Paul schrachelt luut un röppt eenmal över 't anner : » O Swigerin , is 't waar ?	1
ick hewwe vüör ungefähr sästig Johren , in Dingeskiärken , en Euhepaar kannt , dai slaigen sik rächt ondlik düör de Welt .	0
al meermal harr de Dokterin eer fraagt na Sterlau un worüm se nich in Ilenbeck bleben weer , aver vergeevs ; denn leet Maria as en slaten Muschel , de blot eer schöne Perl hergeben deit , wenn se apenbraken warrt .	1
ne Biuersmann in D. – d ’ n Namen van diäm Duarpe iek nit nennen well , awwer jeder , dai ‘ t Siuerland guet kennet , wäit ok , bohiär dai berühmten dullen Streiche kummet , – alsau ne Biuern woll Kläihai infoihern .	0
Licht woor dar nich ansteken , un mi weer dat merkwürdig , de Gestalten bi't helle Für to sehn , wat de Gesichter rot beschien , de Antöög veränner , as weern se mit Farben begaten un allerlei Schatten gegen de Wand teken .	1
se wellt ink füör uës wiärwen , füör 'ne guërre Sake .	0
Lüübedreiger !	0
im väiërhunnertachzigsten Jaohre , naodiäm dat dei Israeliten ut Ägypten 'etrocken wäären , im väiërten Jaohr van Salomo siner Häärschopp , dao wouë diäm Häären sin Hus 'ebugget .	0
taum Huawe in Bracht kämen fake sülke aarme Luie , un se drafften im Stalle slopen , mochten owwer äismol de Sticken afgiewwen .	0
Buchdruckerei von W. Crone jr. Motto .	0
at Elischa wîer maol nao Schunem kam , gongk hei in sine Kâmer ropp , dat hei siëck ressen woll .	0
» Finnt sik dat Broot , finnt sik ok de Mund , de dat verputzen kann .	1
Reineke , Böisewicht !	0
dao sağğe Salomo : » Jao , wat es dao te maken ?	0
tom Glück awer keem nu min Rettungsengel mit en ganzen Packen Leederböker , dat Stück föftig Penn ' , un dree , de binah ganz nie weern , sößtig Penn ' .	1
dogiéger sagte dei Äffin : frieliék hätt nit viéle dei Gawe , in jéigliéken Fällen Klauk te handeln un klauk te roén , un wiam et dann gerött , Dei erwiarw't siék Vertruggen ; alléin et saiket dei Neiders Iahm dogiéger héimliék te schaén , un werd sei tahlriek , Dann triatt sei öffentliék op .	0
Christkinneken bäcket , de Hiemel is raut .	0
wenn hai dann wyier kam , laggte hai sick der byi .	0
Muorgens fraih mit deäm Säsuhrzug forrten doa boaden loss .	0
woss du dat nu met mi maken , wat du gistern met diäm Ägypter 'emaket hiäs ?	0
owwer hei wochte nuoch enns siëwen Dage , un dao leit hei nuoch enns widder 'ne Duwe fleigen , un düese kam dann nit widder retur nao iëhme .	0
un wann mol wuat nit stemmere , sai wußte liuter Rot , te helpen un te troisten harr sai stets et rechte Woot .	0
du büs jao en dapperen Käel ! « Owwer Gideon sağğe : » Dat glöüwes du duoch wuohl selwer nit !	0
nicks daovan draff üöwwerblîwen , wann de Muorgen dao es .	0
sai liäwern ganz tefriän tehäupe , un plogern sick van des Muorgens bis des Owends .	0
de Dokter schreev ok flink dissen Zettel ut .	1
– Hei moch jaömerlick verbriënnen .	0
nah verlopene Tied kümmt de lütt Muskant Klas Ahnfeldt mit en dicken Breef an , lett em awer nich ut de Fingern , denn dar möt veerhunnert un föftig Mark up betahlt wardn .	1
Kränkeden	0
» Fraag noch mal , denn kriggst en Lesten an Dinen Dööskopp ! « reep de Schoster dullerhaar .	1
wo is min Ol denn ?	1
et was in Polen an äinem Dagg im September niëgentiënnhunnert- väienvettig ( 1944 ) .. De Front tiëgen diän Russen was all en Enne ächter Bidrzykow un Sandomierz utwiëcken , bao vi op uësem Rückmars , an luter Trüemmer un Brandstiën vüörbitrecken mochen .	0
du sass nit annere Güötter hewwen niäwen mi !	0
vamme vielen Briuken un äouk vamme Wetten met ` em Wettstoin harre´t liehen un wass klainer un klainer waohren .	0
Doortjn keek eer na , so lang se wat von eer seen kunn un mummel vör sik hin : » Vellicht harr ik 't ni doon schullt , se weer so bestörrt – nee , düsse Ogen !	1
nee , em feelt ganz wat anners !	1
dat geit ut un in .	1
de Häär saġġe tiëger Mose un Aaron : » Wann de Pharao ink opfüördert , dat iëhrt Wunnern daun sollt , daomet dat iëhrt ink daomet utwîset , dann siëss du , Mose , tiëger Aaron : > Niähm dinen Stock un schmîte 'ne op diän Buan vüör de Fäute vam Pharao < , dann wett dao 'ne Schlange drut. « Dat dään se dann ouk : sei göngen naom Pharao un Aaron schmäit sinen Stock op de Äärde , un dao kränselere siëck 'ne Schlange op diäm Buan .	0
hest Du mi al mal op Drievjagd gaan seen ? «	1
dao sağğe Delila tiëger Simson : » Boarümme hiäs du mi wat vüör'emaket un boarümme leiges du ?	0
» Dien Schesterbüx vertellt mi ok wat – ik mutt gaan !	1
lat em nich in dat hoge Krut scheeten .	1
doch kamme nit liuter sau , asse me well , Myek twinget verschiedene Grünne , Süs , Menske , verköft ’ yek den Yesel uch nit , Et wör ok ne Schanne , ne Sünne .	0
denn bo âne sollt vî süss erkennen , dat vî Gnade 'fungen hett vüör dinen Ougen , iëck un din Volk ?	0
dät Dier harr ’ hai vam Smye koft ; De Wäiert harr ’ ‘ n Böcksken Met g ’ rad sau ’ m greysen Röcksken ; Ok van d ’ rselwen Höchte ; – Bius genk S. op ’ n Löchte : – Dät gyet ne Spaß gans unverhofft !	0
niu gäiht loß dät Danzen , Jubeln , Zächen ; – drop un drop – Liuter lichter werd de Geldbuil , Liuter swödder werd de Kopp .	0
allens weer still , denn dat Kapitel von dat Weder weer all lang un breed verhackstückt worrn .	1
noch vær en tachendig Jahrn hör de Haupthof in fast jede Dörp en Mackeprang oder en Witt un man ünnersched se blot as de Mummendörper , de Staberdörper u.s.w. , ahn er Familiennam uttospreken .	1
drümm reipen dei Büöwersten van diän Philistern : » Nu mott iëhrt wane dapper sin , süss twinget ink dei Hebräer unger dat Joch un iëhrt mott Fronarwet daun ! « De Kampf begunn und dei Isrealiten wouën dial 'eschlaon .	0
at äistet moch hei sinen Affstand van de > Instituziaun < Kiärke opgiëwen - auk van binnen - un wiër intriän .	0
as he sinen Spitz slappen höör , lach he hell op , dat Detelt sik verschraak ; de Hund humpel an 't Bett ran un lick sinen olen Fründ mit natte Tung Hand un Gesicht .	1
» Ik will bi gode Gelegenheit mit Dinen Vader spreken .	1
he harr mehr to hörn as to vertelln .	1
dann trock hei van hî futt un schlauġ sine Telt op ächter Migdal-Eder .	0
iék häwwe miék wiér In dei Gunst dias Küenigs erhuawen , iék were as viarmols Wiér im Rôte miék fingen , un unsem ganzen Geschlechte Werd et taur Ehre gedeihn .	0
wo sai do ankämen , wor fortens gegiäten un gedrunken , dobyi harr ’ Hiärmen dät Geld liuter in der Hand , denn eustensmol soll et de Hiärbiärgsvatter saihen , dat hai Geld harr ’ , tweddens dachte hai , wenn me säu viel Geld byi sick härre , möchte me sick vüör Taschendaiwe wahren , un drüddens harr ’ hai kaine heule Tasche am ganzen Lyiwe .	0
de witte Swane	0
wat uese „ Siuerlänske “ Nachtegall unger ` m Heren verstaiht , konn vey am besten van iährem Gedicht „ De Her is däot “ lehren .	0
dann leit hei 'ne in fînstes Linnen kläi'en un laġġte 'me 'ne güllene Halskîe ümme .	0
ja , see he , vör en paar Daag harr se na de Hilgen ropstigen wullt , üm Eier to söken , un weer von de Ledder hindal fullen op de Leemdeel .	1
» Un verleert den halben Jung – nee , mi darto freun !	1
Verdori !	1
soveel Mitlieden ick ok mit mien Anna harr , so weer mi ehr Vertelln doch to lang , to eenförmig , to wenig verständlich , dat mi't nich gahn schull , as dat Kinnerrätsel , dat beschrifft von den Slap , de mächtiger is as dat Kinnerhart :	1
wu sei sou lustig , Wu sei sou schöin sind !	0
dat alles dau iëck , wîl dat Abraham min trüggen Deiner was un hei mi fröchet un op mi 'haort hiät .	0
» Üm Gotts willen , doon Se dat nich ! «	1
se bleev en paar Daag dar , aver Arfest waar nich anners , un bi den Afscheed see he , se schull Maria nu mit eer Kuppeli in Freden laten .	1
Yäwerd harre bey d ’ m Spyelen Syek all äinige Snäpskes drunken , Doch seyn Maut , – et woll nit buetern , – Was me in de Söcke sunken .	0
de Buurn segen sik dat mit en suursööt Gesicht an – wat schullen se darbi doon ?	1
Elsbe Suhr wull he sach dootslaan , von sinen Oom vertell he veel , wat Maren ni verstunn , ok sach den Schudder nich , de em schüdden dee , wenn he em nööm .	1
dä annern Blagen bläiwen stupp terügge .	0
kumm yek gleyk rop ! “ Et diuere gar nit lange mehr , Do wasse ok all uawen Bey iäme op d ’ r Stuawen Un peck ‘ ne bey d ’ m Schoppe Un tus ’ ler ’ ne am Koppe : „ Stoh gleyk mol op !	0
Hu , gresig ! «	1
de » rode Ros ' « un » dree Lillen « konkurreert mitenanner , un wer kann vörbifinn ' , wenn » Stahwedder « , » Krupünner « , » Pukaff « un » Jappup « lockt , wenn de » söte Kriegel « um de » gollen Steern « winkt un in ' n » Lüchterkrog « dree Schritt in ' n Umkreis de Peerkrüff belücht is .	1
sin Schinken was lecker , sin Wif was jungk .	0
Elischa sağğe nuoch enns : » Bräng dat nao unsen Lüüen taum Iätten !	0
nu keem sine erste Dochter .	1
en Levit huolt sine Frau nao Häime	0
im Dale ungen en Stück of fifentwüntig Panzer .	0
un > mors < , dat was de Dout , Vam Fuërtepläcker blous > Frönnd Hein < 'enäumet .	0
» Morgen frö föört wi beiden darhin un denn mit de Baan na Altna , Du schallst Di bi Dinen Oom en beetjen besinnen – nee , nee , nich ümfaten un weg mit de Tranen , Maria !	1
also klattert Beenix up Hinnerk sin Schullern ; von dar kann he een ' Fot in dat Knastlock setten , wo de Meisen ümmer ehr Nest but , un wenn he denn tohöch langt , kann he den ersten Telgen recken .	1
iék kann un iék well et Länger nit dulden , well ouk dias Hêrren Gunst erwiarwen .	0
no Hasensifläiß stäiht jo ‘ t Verlangen Bey allen Ruiens düeser Art. “ „ Hör op “ syet Jausepp , „ met düem Smengen Van Laupengohn , van Sniuwen , Pott !	0
un at se äiërs ’ met diän beiden van Mensch tau Mensch küerden üöwwer de Famillge , dä Kinner , Fautball un sau widder - was dat Is bruocken .	0
dann nahm hei Isaak , dää iëhme Stricke üm Hänge un Fäute un laġġte 'ne uowen op diän Altaor , dat hei 'ne schlachen woll .	0
